Block Name,Row ID,N,Time,avg(Area),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(Area),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(Area),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(Area),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(Area),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(Area),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(Area),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
stats,124,1,62.5,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0.00500595,304.425,-0.099906,-0.00102623,0.00443719,0.10001,0,0,0,0,0,0,0,0,1
stats,125,1,63,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0.00500595,304.432,-0.099905,-0.000734932,0.0046989,0.100018,0,0,0,0,0,0,0,0,1
stats,126,1,63.5,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0.00500595,304.438,-0.0999024,-0.000456079,0.00498775,0.100028,0,0,0,0,0,0,0,0,1
stats,127,1,64,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0.00500595,304.444,-0.0998968,-7.15724e-05,0.00530775,0.100038,0,0,0,0,0,0,0,0,1
stats,128,1,64.5,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0.00500595,304.45,-0.0998888,0.000403678,0.00559101,0.100046,0,0,0,0,0,0,0,0,1
stats,129,1,65,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0.00500595,304.456,-0.0998864,0.000971299,0.00585198,0.100062,0,0,0,0,0,0,0,0,1
stats,130,1,65.5,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0.00500595,304.463,-0.0998855,0.00157374,0.00608859,0.100083,0,0,0,0,0,0,0,0,1
stats,131,1,66,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0.00500595,304.471,-0.0998906,0.00223942,0.00620051,0.100108,0,0,0,0,0,0,0,0,1
stats,132,1,66.5,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0.00500595,304.478,-0.0998928,0.00267471,0.00634373,0.10013,0,0,0,0,0,0,0,0,1
stats,133,1,67,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0.00500595,304.483,-0.0998907,0.00269744,0.00658727,0.100144,0,0,0,0,0,0,0,0,1
